Ticker,Price,RSI,Discount
MMM,162.68,51.1,6.9
ABBV,219.26,41.5,9.1
AES,14.25,42.4,7.0
AFL,107.09,36.5,7.1
A,135.05,46.3,15.6
ABNB,132.15,48.3,19.4
LNT,66.83,59.4,4.0
AEE,102.32,56.5,3.4
AEP,116.63,52.9,6.5
AXP,361.69,43.8,6.5
AMP,496.6,51.2,13.6
APA,25.8,53.5,6.0
APO,136.31,33.0,21.0
AAPL,248.04,12.1,14.1
APP,524.41,32.2,29.7
APTV,76.47,47.0,14.0
ACGL,92.96,46.4,4.8
ANET,136.34,52.6,17.3
AIZ,233.39,43.2,4.3
ATO,165.34,36.9,7.9
